  c_sec  , code_cultu_c , code_cultu_s ,       s1_c       ,       s1_s       ,     s2_c      ,      s2_s      ,    tot_sai_c     ,    tot_sai_s     ,       pc_sau_c       ,       pc_sau_s       
 811-02  , C81          , C3           ,             4.85 ,              0.2 ,          0.38 ,           0.07 ,             5.23 ,             0.27 ,     0.16522607223191 ,   0.0085298354689514
 811-01  , C81          , C3           ,              2.2 ,             0.58 ,0,           0.04 ,              2.2 ,             0.62 ,    0.203488909854413 ,   0.0573468745953346
 753-04  , C81          , C3           ,0,            12.08 ,          0.12 ,          16.11 ,             0.12 ,            28.19 ,    0.010107476163202 ,     2.37441460867221
 753-03  , C81          , C3           ,             4.03 ,              0.8 ,0,           0.04 ,             4.03 ,             0.84 ,    0.164070578847516 ,    0.034198334052584
 753-02  , C81          , C3           ,             0.73 ,             0.13 ,0,            2.3 ,             0.73 ,             2.43 ,   0.0321608571529271 ,    0.107056003947415
 812-01  , C81          , C3           ,             0.44 ,             0.04 ,0,0,             0.44 ,             0.04 ,   0.0395232064099455 ,   0.0035930187645405
 811-09  , C81          , C3           ,            22.58 ,            0.055 ,         0.385 ,0,           22.965 ,            0.055 ,     2.53103870125147 ,  0.00606170818936777
 811-08  , C81          , C3           ,            30.46 ,            0.105 ,         5.175 ,0,           35.635 ,            0.105 ,     2.83947616903788 ,  0.00836663386414977
 811-07  , C81          , C3           ,           165.38 ,              0.1 ,         68.49 ,           0.25 ,           233.87 ,             0.35 ,     16.8655844577297 ,    0.025240323941529
 811-06  , C81          , C3           ,             0.03 ,             1.42 ,0,           0.34 ,             0.03 ,             1.76 , 0.000616296101516294 ,   0.0361560379556226
 811-05  , C81          , C3           ,            11.18 ,0,0,0,            11.18 ,0,     1.24096746622859 ,0
 811-04  , C81          , C3           ,             5.89 ,             0.22 ,         27.77 ,           0.13 ,            33.66 ,             0.35 ,     1.34607155853972 ,   0.0139965848333007
 811-03  , C81          , C3           ,             1.26 ,             3.06 ,0,           1.94 ,             1.26 ,5,   0.0405868994507884 ,    0.161059124804716
 753-01  , C81          , C3           ,             4.48 ,             20.2 ,          0.25 ,          20.85 ,             4.73 ,            41.05 ,    0.207497093724639 ,     1.80079401636288
 752-03  , C81          , C3           ,             1.19 ,            52.13 ,          0.03 ,          55.87 ,             1.22 ,108,   0.0257955931823516 ,     2.28354431450325
 922-01  , C81          , C3           ,            80.74 ,             0.05 ,1,           0.25 ,            81.74 ,              0.3 ,     5.43166232523524 ,    0.019935144330445
 921-06  , C81          , C3           ,             1.98 ,             2.67 ,          0.25 ,0,             2.23 ,             2.67 ,    0.192769834546429 ,    0.230805138223751
 921-05  , C81          , C3           ,             7.63 ,             0.06 ,0,0,             7.63 ,             0.06 ,     1.03674112723518 ,  0.00815261699005381
 921-04  , C81          , C3           ,             9.63 ,             0.14 ,          0.33 ,           0.12 ,             9.96 ,             0.26 ,    0.728160663240315 ,   0.0190082100845865
 921-03  , C81          , C3           ,            29.14 ,             0.53 ,          0.21 ,           0.12 ,            29.35 ,             0.65 ,     1.16856849364155 ,   0.0258797111027942
 921-02  , C81          , C3           ,              4.3 ,             0.18 ,          0.16 ,0,             4.46 ,             0.18 ,    0.333313404280761 ,   0.0134521104866675
 921-01  , C81          , C3           ,            11.63 ,             0.03 ,          0.57 ,           0.02 ,             12.2 ,             0.05 ,      1.1229956368858 ,  0.00460244113477789
 914-02  , C81          , C3           ,            32.06 ,             0.57 ,0,           0.74 ,            32.06 ,             1.31 ,       1.923388427273 ,   0.0785913549509554
 914-01  , C81          , C3           ,             32.5 ,             0.46 ,          1.25 ,0,            33.75 ,             0.46 ,     1.88953895249559 ,   0.0257537160932732
 913-03  , C81          , C3           ,            12.41 ,            29.34 ,0,0,            12.41 ,            29.34 ,    0.514476651631733 ,     1.21633722472804
 913-02  , C81          , C3           ,             7.52 ,            20.21 ,          1.94 ,          75.91 ,             9.46 ,            96.12 ,    0.783793860557604 ,      7.9638758854965
 913-01  , C81          , C3           ,            84.87 ,             3.26 ,         27.48 ,         111.02 ,           112.35 ,           114.28 ,     3.97128374795869 ,     4.03950428764325
 912-02  , C81          , C3           ,            84.81 ,             1.53 ,3,0,            87.81 ,             1.53 ,     2.11075134671272 ,   0.0367776968508196
 912-01  , C81          , C3           ,            45.69 ,0,          0.25 ,0,            45.94 ,0,    0.872569521606258 ,0
 911-06  , C81          , C3           ,             4.63 ,             2.41 ,0,           0.13 ,             4.63 ,             2.54 ,    0.152700456452336 ,   0.0837708767578692
 911-05  , C81          , C3           ,             6.52 ,           280.53 ,          0.06 ,          33.12 ,             6.58 ,           313.65 ,     0.17195781022966 ,     8.19674273229985
 911-04  , C81          , C3           ,            20.36 ,           289.04 ,          1.78 ,          62.12 ,            22.14 ,           351.16 ,    0.421619521707502 ,     6.68725886372205
 911-03  , C81          , C3           ,           31.285 ,             1.54 ,0,           0.05 ,           31.285 ,             1.59 ,     2.24439797261669 ,    0.114067213567542
 911-02  , C81          , C3           ,            13.57 ,             0.01 ,          4.19 ,0,            17.76 ,             0.01 ,     1.03013253675938 , 0.000580029581508657
 911-01  , C81          , C3           ,          107.885 ,             5.72 ,          0.25 ,           3.43 ,          108.135 ,             9.15 ,      5.0544427072013 ,    0.427689006990261
 834-06  , C81          , C3           ,1,0,0,0,1,0,    0.222469410456062 ,0
 834-05  , C81          , C3           ,              0.5 ,              3.5 ,0,0,              0.5 ,              3.5 ,   0.0278218290070389 ,    0.194752803049272
 834-04  , C81          , C3           ,0,              1.7 ,0,0,0,              1.7 ,0,   0.0816561794514626
 834-03  , C81          , C3           ,             0.54 ,             5.82 ,0,0,             0.54 ,             5.82 ,   0.0251204852905603 ,    0.270743008131594
 834-02  , C81          , C3           ,             0.09 ,             0.89 ,0,0,             0.09 ,             0.89 ,  0.00492788856401327 ,   0.0487313424663535
 834-01  , C81          , C3           ,             4.29 ,0,0,0,             4.29 ,0,     0.22052133505364 ,0
 833-03  , C81          , C3           ,             0.18 ,              0.1 ,0,0,             0.18 ,              0.1 ,  0.00534919866032291 ,  0.00297177703351273
 833-02  , C81          , C3           ,             4.89 ,0,          1.69 ,0,             6.58 ,0,     1.63397069778992 ,0
 833-01  , C81          , C3           ,             1.52 ,             0.96 ,0,           0.44 ,             1.52 ,              1.4 ,   0.0300534239154075 ,   0.0276807851852438
 832-04  , C81          , C3           ,             7.52 ,             0.05 ,          0.65 ,           0.05 ,             8.17 ,              0.1 ,    0.613091798677763 ,  0.00750418358234716
 832-03  , C81          , C3           ,             5.28 ,             6.84 ,          9.29 ,           1.17 ,            14.57 ,             8.01 ,    0.882313757312243 ,    0.485060617437959
 832-02  , C81          , C3           ,             0.33 ,             1.16 ,          0.04 ,           0.14 ,             0.37 ,              1.3 ,  0.00971970473113195 ,   0.0341503139201933
 832-01  , C81          , C3           ,            18.25 ,             1.59 ,           0.2 ,           0.82 ,            18.45 ,             2.41 ,     1.76973324508647 ,    0.231168407623761
 831-03  , C81          , C3           ,             5.28 ,             0.06 ,         15.39 ,            0.5 ,            20.67 ,             0.56 ,       1.517576576312 ,   0.0411147983906493
 831-02  , C81          , C3           ,             0.96 ,0,          0.25 ,0,             1.21 ,0,    0.104509453355099 ,0
 831-01  , C81          , C3           ,              1.1 ,             0.21 ,          0.64 ,           0.13 ,             1.74 ,             0.34 ,    0.163170381762428 ,   0.0318838677007043
 823-03  , C81          , C3           ,             0.37 ,             0.26 ,0,           0.31 ,             0.37 ,             0.57 ,   0.0584795321637427 ,   0.0900900900900901
 823-02  , C81          , C3           ,             3.29 ,             1.25 ,0,            0.2 ,             3.29 ,             1.45 ,    0.347754394495122 ,    0.153265614595115
 823-01  , C81          , C3           ,             77.5 ,             5.71 ,          3.12 ,           2.75 ,            80.62 ,             8.46 ,     4.03903768499314 ,     0.42384344846244
 822-05  , C81          , C3           ,             7.15 ,0,0,0,             7.15 ,0,    0.860440208431111 ,0
 822-04  , C81          , C3           ,            10.02 ,             0.81 ,          0.05 ,0,            10.07 ,             0.81 ,      0.9292068061861 ,   0.0747425534270845
 822-03  , C81          , C3           ,             3.07 ,             1.31 ,          0.08 ,           0.65 ,             3.15 ,             1.96 ,    0.282741968781696 ,    0.175928336130833
 822-02  , C81          , C3           ,              2.3 ,0,0,0,              2.3 ,0,    0.429778010314672 ,0
 822-01  , C81          , C3           ,            21.36 ,             0.19 ,0,0,            21.36 ,             0.19 ,     1.82809410918925 ,    0.016261136739043
 821-04  , C81          , C3           ,             7.28 ,             0.65 ,0,0,             7.28 ,             0.65 ,    0.957428620276971 ,   0.0854846982390152
 821-02  , C81          , C3           ,            11.47 ,             7.97 ,          2.35 ,           7.29 ,            13.82 ,            15.26 ,    0.736469635282331 ,    0.813207426512907
 821-01  , C81          , C3           ,            10.53 ,              1.5 ,0,           0.19 ,            10.53 ,             1.69 ,     0.59152318624835 ,   0.0949358200151673
 815-02  , C81          , C3           ,             1.07 ,             0.99 ,0,0,             1.07 ,             0.99 ,   0.0380884577734271 ,    0.035240722612797
 815-01  , C81          , C3           ,             1.43 ,             0.23 ,0,0,             1.43 ,             0.23 ,    0.073809499230936 ,   0.0118714579182624
 814-02  , C81          , C3           ,             1.16 ,             2.14 ,          0.04 ,           2.73 ,              1.2 ,             4.87 ,   0.0596617180586077 ,    0.242127139121183
 814-01  , C81          , C3           ,             0.12 ,             0.43 ,0,           0.49 ,             0.12 ,             0.92 ,  0.00877950278749214 ,    0.067309521370773
 813-01  , C81          , C3           ,             5.23 ,             0.11 ,0,0,             5.23 ,             0.11 ,    0.502169988862004 ,   0.0105618926911703
 812-04  , C81          , C3           ,             16.1 ,0,          0.13 ,0,            16.23 ,0,     2.25573314801946 ,0
 812-03  , C81          , C3           ,             9.79 ,             0.21 ,           1.2 ,0,            10.99 ,             0.21 ,    0.993661901791123 ,   0.0189871700979195
 812-02  , C81          , C3           ,            19.69 ,             0.03 ,          1.58 ,0,            21.27 ,             0.03 ,     2.23939524747055 ,  0.00315852644213053
 752-02  , C81          , C3           ,0,             9.64 ,0,           5.15 ,0,            14.79 ,0,    0.781278888566071
 752-01  , C81          , C3           ,             0.06 ,            56.77 ,          0.27 ,          38.63 ,             0.33 ,             95.4 ,   0.0152145247996754 ,     4.39838080572435
 751-03  , C81          , C3           ,             6.22 ,            97.15 ,          0.39 ,         558.41 ,             6.61 ,           655.56 ,    0.210890365724094 ,     20.9154747585608
 751-02  , C81          , C3           ,              3.1 ,            12.87 ,          0.08 ,         187.38 ,             3.18 ,           200.25 ,     0.17898451615082 ,     11.2709589179879
 751-01  , C81          , C3           ,             0.91 ,             1.95 ,0,           0.75 ,             0.91 ,              2.7 ,   0.0811644874150449 ,     0.24081770991277
 743-03  , C81          , C3           ,             0.13 ,            22.73 ,0,          49.22 ,             0.13 ,            71.95 ,   0.0251120383248339 ,     13.8985473651677
 743-02  , C81          , C3           ,             0.25 ,            24.75 ,0,          60.45 ,             0.25 ,             85.2 ,   0.0528072324785603 ,     17.9967048286933
 743-01  , C81          , C3           ,             2.49 ,             12.8 ,0,         283.69 ,             2.49 ,           296.49 ,    0.232536421367202 ,     27.6886440044826
 742-02  , C81          , C3           ,             4.04 ,            10.14 ,0,          44.55 ,             4.04 ,            54.69 ,    0.434049228058489 ,     5.87578026795019
 742-01  , C81          , C3           ,             1.05 ,            44.25 ,0,          19.08 ,             1.05 ,            63.33 ,     0.15485355278294 ,     9.33988142642244
 741-03  , C81          , C3           ,             0.26 ,            11.61 ,0,          82.74 ,             0.26 ,            94.35 ,   0.0272276968510121 ,     9.88051229958845
 741-02  , C81          , C3           ,             1.21 ,             9.41 ,0,         138.45 ,             1.21 ,           147.86 ,    0.105593856357448 ,     12.9033947115804
 741-01  , C81          , C3           ,             2.97 ,            16.19 ,0,         237.91 ,             2.97 ,            254.1 ,    0.228299972327276 ,     19.5323309657781
 733-05  , C81          , C3           ,             0.25 ,             5.79 ,0,           7.35 ,             0.25 ,            13.14 ,   0.0375951156425757 ,     1.97599927817378
 733-04  , C81          , C3           ,             0.24 ,            58.11 ,0,          100.4 ,             0.24 ,           158.51 ,    0.012116377808854 ,     8.00236269367273
 733-03  , C81          , C3           ,             5.16 ,            77.43 ,         18.57 ,          45.75 ,            23.73 ,           123.18 ,     2.03254817987152 ,     10.5507494646681
 733-02  , C81          , C3           ,             8.14 ,            23.28 ,1,         194.25 ,             9.14 ,           217.53 ,    0.247452377600416 ,     5.88931243976132
 733-01  , C81          , C3           ,            11.33 ,            16.35 ,0,         416.37 ,            11.33 ,           432.72 ,    0.484107349629763 ,     18.4892261546153
 732-08  , C81          , C3           ,              0.7 ,             0.07 ,           0.6 ,         534.55 ,              1.3 ,           534.62 ,   0.0821049174529792 ,     33.7653315143936
 732-07  , C81          , C3           ,0,             2.39 ,0,          88.03 ,0,            90.42 ,0,     10.8589133880963
 732-06  , C81          , C3           ,            21.43 ,            32.35 ,          2.74 ,            2.2 ,            24.17 ,            34.55 ,     3.73126263951711 ,     5.33368325177147
 732-05  , C81          , C3           ,             1.25 ,             5.95 ,0,         202.65 ,             1.25 ,            208.6 ,    0.106208525570765 ,     17.7240787472492
 732-04  , C81          , C3           ,             2.38 ,             1.97 ,          0.05 ,          21.22 ,             2.43 ,            23.19 ,    0.496019595835885 ,     4.73361910593999
 732-03  , C81          , C3           ,             7.71 ,              3.7 ,2,         195.92 ,             9.71 ,           199.62 ,    0.771768072169456 ,     15.8661526844971
 732-02  , C81          , C3           ,            18.18 ,             2.56 ,          4.68 ,         658.48 ,            22.86 ,           661.04 ,     1.07178020535421 ,     30.9925453607764
 732-01  , C81          , C3           ,0,             3.57 ,0,         105.78 ,0,           109.35 ,0,     12.6662187833017
 731-10  , C81          , C3           ,             0.25 ,             4.94 ,           0.7 ,          411.7 ,             0.95 ,           416.64 ,   0.0772238434713337 ,     33.8679390988384
 731-09  , C81          , C3           ,0,             5.01 ,          0.07 ,         450.92 ,             0.07 ,           455.93 ,  0.00561207719011312 ,     36.5530621898325
 731-08  , C81          , C3           ,             1.99 ,            10.94 ,0,         347.09 ,             1.99 ,           358.03 ,    0.169252228345921 ,      30.450942369191
 731-07  , C81          , C3           ,             0.24 ,           137.36 ,          0.03 ,          438.3 ,             0.27 ,           575.66 ,   0.0135338345864662 ,     28.8551378446115
 731-06  , C81          , C3           ,             1.93 ,            29.13 ,0,         829.42 ,             1.93 ,           858.55 ,   0.0877963125548727 ,     39.0557119917026
 731-05  , C81          , C3           ,             0.77 ,            20.87 ,          0.14 ,         115.77 ,             0.91 ,           136.64 ,    0.128315402078428 ,     19.2670511428531
 731-04  , C81          , C3           ,             1.57 ,             18.4 ,          0.16 ,         585.26 ,             1.73 ,           603.66 ,   0.0792026626744863 ,     27.6366932659424
 731-03  , C81          , C3           ,             1.52 ,           31.575 ,          0.28 ,          22.02 ,              1.8 ,           53.595 ,    0.309520329467195 ,     9.21596780988574
 731-02  , C81          , C3           ,             1.15 ,             1.65 ,          0.12 ,        192.815 ,             1.27 ,          194.465 ,    0.221996923507202 ,     33.9926234093134
 731-01  , C81          , C3           ,             4.75 ,           17.365 ,          0.28 ,        633.185 ,             5.03 ,           650.55 ,    0.300523675948248 ,     38.8679279101655
 723-03  , C81          , C3           ,             0.16 ,            13.84 ,0,          116.2 ,             0.16 ,           130.04 ,   0.0123304562268804 ,      10.021578298397
 723-02  , C81          , C3           ,             1.87 ,           109.65 ,          0.08 ,         167.02 ,             1.95 ,           276.67 ,    0.103160957545298 ,     14.6366882687475
 723-01  , C81          , C3           ,             0.89 ,            32.12 ,          0.06 ,          22.96 ,             0.95 ,            55.08 ,    0.150143030992683 ,     8.70513489165995
 722-03  , C81          , C3           ,             2.69 ,            10.52 ,0,         444.35 ,             2.69 ,           454.87 ,    0.206781511119311 ,     34.9660616962234
 722-02  , C81          , C3           ,             0.78 ,            18.29 ,0,         491.96 ,             0.78 ,           510.25 ,   0.0440879724619741 ,     28.8408819855414
 722-01  , C81          , C3           ,0,              3.5 ,0,         435.52 ,0,           439.02 ,0,     30.1576506955178
 721-02  , C81          , C3           ,            0.685 ,            48.49 ,          0.31 ,         491.07 ,            0.995 ,           539.56 ,   0.0655564889394014 ,     35.5494062031592
 721-01  , C81          , C3           ,            0.605 ,             47.3 ,0,         655.33 ,            0.605 ,           702.63 ,   0.0273766185577273 ,     31.7944355325884
 716-01  , C81          , C3           ,            51.79 ,            88.71 ,          0.87 ,           29.2 ,            52.66 ,           117.91 ,     2.35423503008736 ,      5.2713226813065
 715-03  , C81          , C3           ,             0.15 ,            33.26 ,0,          24.77 ,             0.15 ,            58.03 ,   0.0137903136836686 ,     5.33501268708859
 715-02  , C81          , C3           ,             0.12 ,            68.81 ,0,          28.38 ,             0.12 ,            97.19 ,     0.01386497822043 ,     11.2294769436966
 715-01  , C81          , C3           ,             0.19 ,             17.5 ,           0.5 ,          68.24 ,             0.69 ,            85.74 ,   0.0729641418253725 ,     9.06658771030064
 714-03  , C81          , C3           ,             2.23 ,             9.46 ,           0.2 ,           8.62 ,             2.43 ,            18.08 ,    0.594902930447769 ,     4.42627365534801
 714-02  , C81          , C3           ,0,            39.04 ,0,        150.965 ,0,          190.005 ,0,     19.8128258602711
 714-01  , C81          , C3           ,             0.16 ,             6.77 ,0,         17.595 ,             0.16 ,           24.365 ,   0.0207892103998025 ,     3.16580694619493
 713-03  , C81          , C3           ,             0.24 ,             9.45 ,0,            8.1 ,             0.24 ,            17.55 ,  0.00778795981412736 ,    0.569494561408063
 713-02  , C81          , C3           ,             5.84 ,            27.07 ,          4.58 ,          96.79 ,            10.42 ,           123.86 ,    0.490216833914349 ,     5.82708800850587
 713-01  , C81          , C3           ,0,            17.72 ,0,          21.86 ,0,            39.58 ,0,     3.72366947964588
 712-04  , C81          , C3           ,             0.63 ,            14.54 ,0,          35.64 ,             0.63 ,            50.18 ,   0.0463293205768368 ,      3.6901671532471
 712-03  , C81          , C3           ,            16.69 ,             9.45 ,          0.69 ,          50.87 ,            17.38 ,            60.32 ,     1.53820283390419 ,      5.3385727814212
 712-02  , C81          , C3           ,              5.1 ,            18.83 ,           0.4 ,          20.92 ,              5.5 ,            39.75 ,    0.407081742013796 ,     2.94209077182698
 712-01  , C81          , C3           ,             9.96 ,            21.75 ,          1.81 ,         123.54 ,            11.77 ,           145.29 ,    0.708792763930458 ,     8.74940532467767
 711-06  , C81          , C3           ,            80.77 ,            31.14 ,          8.46 ,         100.26 ,            89.23 ,            131.4 ,     9.16439003348191 ,     13.4954706981903
 711-05  , C81          , C3           ,0,            32.28 ,0,         437.76 ,0,           470.04 ,0,     32.2413367355338
 711-04  , C81          , C3           ,            18.53 ,4,          0.16 ,        527.775 ,            18.69 ,          531.775 ,    0.657252725805345 ,     18.7004049366045
 711-03  , C81          , C3           ,0,            17.45 ,0,         502.95 ,0,            520.4 ,0,     24.8229149276157
 711-02  , C81          , C3           ,             0.18 ,            41.14 ,0,          13.53 ,             0.18 ,            54.67 ,  0.00715668772588295 ,     2.17364509985567
 711-01  , C81          , C3           ,             2.49 ,             8.27 ,          0.08 ,         13.885 ,             2.57 ,           22.155 ,    0.147240388554208 ,     1.26930381650525
 642-02  , C81          , C3           ,             5.77 ,            26.43 ,          1.85 ,         653.16 ,             7.62 ,           679.59 ,   0.0502712801891572 ,     4.48344610285425
 642-01  , C81          , C3           ,            16.18 ,            29.44 ,          1.79 ,        1031.85 ,            17.97 ,          1061.29 ,     0.15045475514891 ,     8.88570545865257
 641-03  , C81          , C3           ,             1.71 ,           116.11 ,0,           62.7 ,             1.71 ,           178.81 ,     0.01514176142074 ,     1.58333237405995
 641-02  , C81          , C3           ,            75.63 ,           458.32 ,          5.13 ,          89.44 ,            80.76 ,           547.76 ,     1.05981609382443 ,     7.18827220843575
 641-01  , C81          , C3           ,             6.61 ,           277.34 ,0,          43.09 ,             6.61 ,           320.43 ,   0.0499926637089565 ,     2.42347189595475
 633-02  , C81          , C3           ,             3.53 ,            14.95 ,0,           0.33 ,             3.53 ,            15.28 ,   0.0634621573178339 ,    0.274703049239802
 633-01  , C81          , C3           ,             0.38 ,            50.53 ,0,           0.08 ,             0.38 ,            50.61 ,   0.0177861820088088 ,     2.36883860912057
 632-03  , C81          , C3           ,             0.31 ,            32.48 ,0,          21.92 ,             0.31 ,             54.4 ,  0.00958265971357121 ,     1.68160222070411
 632-02  , C81          , C3           ,            29.94 ,            38.86 ,0,          23.66 ,            29.94 ,            62.52 ,    0.721945055978472 ,     1.50754859384683
 632-01  , C81          , C3           ,            14.76 ,            40.07 ,          0.42 ,          14.65 ,            15.18 ,            54.72 ,    0.146538675398492 ,    0.528234276535277
 631-02  , C81          , C3           ,            45.84 ,           182.77 ,          3.19 ,          26.83 ,            49.03 ,            209.6 ,    0.757935287197649 ,     3.24012311231139
 631-01  , C81          , C3           ,             3.42 ,           303.16 ,0,          61.33 ,             3.42 ,           364.49 ,   0.0990319769041214 ,     10.5544342870711
 623-03  , C81          , C3           ,             9.86 ,           638.16 ,          0.02 ,           0.25 ,             9.88 ,           638.41 ,    0.242129563823686 ,     15.6455399636315
 623-02  , C81          , C3           ,            37.28 ,            364.8 ,0,           0.68 ,            37.28 ,           365.48 ,     1.37936137936138 ,     13.5227735227735
 623-01  , C81          , C3           ,0,           319.44 ,0,           4.88 ,0,           324.32 ,0,     11.6129263270969
 622-04  , C81          , C3           ,             0.72 ,            75.62 ,          0.18 ,0,              0.9 ,            75.62 ,   0.0127959962749433 ,     1.07514804256801
 622-03  , C81          , C3           ,             2.13 ,           177.71 ,0,           0.49 ,             2.13 ,            178.2 ,    0.148526243122817 ,     12.4259983683032
 622-02  , C81          , C3           ,  17.536666666698 , 246.671666668141 ,          1.93 , 0.101666666675 ,  19.466666666698 , 246.773333334816 ,     1.21682510742463 ,     15.4253418413111
 622-01  , C81          , C3           ,   8.003333333302 , 213.948333331859 ,0, 0.708333333325 ,   8.003333333302 , 214.656666665184 ,    0.467957757118998 ,     12.5510519304881
 621-04  , C81          , C3           ,           378.55 ,            557.4 ,          2.13 ,           2.65 ,           380.68 ,           560.05 ,     8.85312619914185 ,     13.0245700531402
 621-03  , C81          , C3           ,           340.22 ,            691.3 ,          3.25 ,           0.28 ,           343.47 ,           691.58 ,     9.04580182828067 ,      18.213805072939
 621-02  , C81          , C3           ,            29.04 ,           381.49 ,          0.08 ,           1.86 ,            29.12 ,           383.35 ,     0.68168942866373 ,      8.9740948653242
 621-01  , C81          , C3           ,           112.54 ,           234.56 ,          0.37 ,           0.69 ,           112.91 ,           235.25 ,     4.10680381473372 ,     8.55659903831465
 614-01  , C81          , C3           ,            46.76 ,           539.67 ,          3.71 ,         131.33 ,            50.47 ,671,    0.481225805221305 ,     6.39790995251625
 613-04  , C81          , C3           ,             1.33 ,            40.25 ,          0.05 ,         851.89 ,             1.38 ,           892.14 ,   0.0381340827509596 ,     24.6528554966964
 613-03  , C81          , C3           ,             3.37 ,           437.56 ,          1.25 ,         124.97 ,             4.62 ,           562.53 ,   0.0682809747330835 ,     8.31387374818213
 613-02  , C81          , C3           ,            18.86 ,            514.7 ,           0.1 ,          64.96 ,            18.96 ,           579.66 ,    0.620473667503346 ,     18.9696079169298
 613-01  , C81          , C3           ,           203.94 ,           340.58 ,          5.44 ,        1000.46 ,           209.38 ,          1341.04 ,     3.77766992568429 ,      24.195274033526
 612-03  , C81          , C3           ,            81.35 ,           562.89 ,0,0,            81.35 ,           562.89 ,     1.68504648118382 ,     11.6594445457106
 612-02  , C81          , C3           ,            15.05 ,           125.94 ,0,           3.88 ,            15.05 ,           129.82 ,    0.561200708492589 ,     4.84086883564836
 612-01  , C81          , C3           ,           295.97 ,           942.45 ,0,         1335.7 ,           295.97 ,          2278.15 ,     3.15628612501013 ,     24.2946691748888
 611-04  , C81          , C3           ,            22.24 ,           177.17 ,1,        2217.28 ,            23.24 ,          2394.45 ,    0.227383688449124 ,     23.4276623410932
 611-03  , C81          , C3           ,           253.14 ,           364.62 ,          4.73 ,         193.98 ,           257.87 ,            558.6 ,     2.77919681675429 ,     6.02031776414063
 611-02  , C81          , C3           ,            42.49 ,           214.05 ,        122.36 ,        3284.62 ,           164.85 ,          3498.67 ,      1.5435089759471 ,     32.7584382704085
 611-01  , C81          , C3           ,            54.31 ,           487.61 ,         23.87 ,        2815.64 ,            78.18 ,          3303.25 ,    0.605825784404131 ,     25.5972630127008
 552-03  , C81          , C3           ,             5.74 ,             6.33 ,          0.23 ,           0.05 ,             5.97 ,             6.38 ,     1.68534567936087 ,     1.80108968749118
 552-02  , C81          , C3           ,             3.44 ,             0.78 ,0,           0.39 ,             3.44 ,             1.17 ,    0.237282290050009 ,   0.0807035695809622
 552-01  , C81          , C3           ,            17.18 ,            16.66 ,0,           0.05 ,            17.18 ,            16.71 ,     1.08320775773472 ,     1.05357401814594
 551-08  , C81          , C3           , 1554.38333321574 ,  435.02333331597 , 0.49999999995 ,          28.27 , 1554.88333321569 ,  463.29333331597 ,     33.7931673994636 ,     10.0690185773766
 551-07  , C81          , C3           ,             3.39 ,           237.38 ,0,           0.23 ,             3.39 ,           237.61 ,    0.159648114833618 ,     11.1899671285003
 551-06  , C81          , C3           ,           185.71 ,           514.59 ,          0.13 ,           0.02 ,           185.84 ,           514.61 ,     7.28241702261061 ,     20.1657588463498
 551-05  , C81          , C3           ,           139.66 ,           458.16 ,          0.25 ,          67.93 ,           139.91 ,           526.09 ,     5.89745319046696 ,     22.1756211062309
 551-04  , C81          , C3           ,           271.12 ,437,0,           8.98 ,           271.12 ,           445.98 ,     6.54392384409666 ,     10.7644554292941
 551-03  , C81          , C3           , 1573.08333321574 ,  429.45333331597 , 0.89999999995 ,           0.08 , 1573.98333321569 ,  429.53333331597 ,     26.4679290160559 ,     7.22298485398196
 551-02  , C81          , C3           ,           529.14 ,             92.4 ,0,0,           529.14 ,             92.4 ,     37.4585870026901 ,     6.54112983151635
 551-01  , C81          , C3           , 1730.05333321574 ,  575.80333331597 , 0.49999999995 ,           0.25 , 1730.55333321569 ,  576.05333331597 ,     31.2817123154127 ,     10.4128167016039
 544-01  , C81          , C3           ,0,             0.02 ,0,0,0,             0.02 ,0, 0.000497366444675443
 543-01  , C81          , C3           ,              0.1 ,             0.02 ,          0.01 ,           0.36 ,             0.11 ,             0.38 ,  0.00337849251663908 ,   0.0116711559665714
 542-06  , C81          , C3           ,             0.27 ,            148.2 ,0,0,             0.27 ,            148.2 ,  0.00787566943190171 ,     4.32286744373272
 542-05  , C81          , C3           ,             1.89 ,           207.85 ,0,0,             1.89 ,           207.85 ,   0.0490084221881094 ,     5.38962992158652
 542-04  , C81          , C3           ,             8.65 ,           396.42 ,          0.12 ,          10.63 ,             8.77 ,           407.05 ,    0.273179787810637 ,     12.6793423749509
 542-03  , C81          , C3           ,             1.41 ,            76.72 ,0,           5.46 ,             1.41 ,            82.18 ,   0.0631805350181476 ,     3.68239458708608
 542-02  , C81          , C3           ,             0.25 ,             7.28 ,          0.01 ,           2.67 ,             0.26 ,             9.95 ,   0.0098255956767379 ,    0.376017988398239
 542-01  , C81          , C3           ,             0.03 ,              0.3 ,0,           0.79 ,             0.03 ,             1.09 , 0.000522781966810316 ,   0.0189944114607748
 541-06  , C81          , C3           ,             6.81 ,           525.32 ,0,2,             6.81 ,           527.32 ,    0.175380312594161 ,      13.580256451858
 541-05  , C81          , C3           ,             3.42 ,            75.33 ,0,0,             3.42 ,            75.33 ,    0.260867575380813 ,     5.74595159457212
 541-04  , C81          , C3           ,              0.6 ,           113.94 ,          0.02 ,          16.97 ,             0.62 ,           130.91 ,   0.0241716341974043 ,      5.1037236012616
 541-03  , C81          , C3           ,              0.4 ,            42.42 ,0,           4.13 ,              0.4 ,            46.55 ,  0.00579114244762636 ,    0.673944202342517
